producent,seria,symbol,aparat,szerokosc_moduly,In_A,status_produktu,parametry,zrodlo_url,data_weryfikacji,uwagi
generic,,,rozlacznik_glowny_4P,4,63,,,,,
generic,,,spd_t1_t2,8,,,,,,rezerwa projektowa = max z katalogu (Hager 8M); realnie 4-8M
generic,,,lampka_obecnosci_faz,1,,,,,,
generic,,,przelacznik_zrodla_I-0-II_4P,8,63,,,,,rezerwa projektowa = max z katalogu; realnie 4-8M; nie kazdy producent ma wersje modulowa
generic,,,roznicowka_2P_typA,2,40,,,,,
generic,,,roznicowka_4P_typA,4,40,,,,,
generic,,,roznicowka_4P_typB,4,40,,,,,wallbox
generic,,,eska_1P_B10,1,10,,,,,
generic,,,eska_1P_B16,1,16,,,,,
generic,,,eska_3P_B16,3,16,,,,,
generic,,,eska_3P_C16,3,16,,,,,pompa ciepla
generic,,,rozlacznik_izolacyjny_3P,3,63,,,,,rezerwa projektowa; Noark Ex9I40 ma 3P w 1M
generic,,,licznik_energii_3F_modbus,5,,,,,,rezerwa projektowa = max z katalogu; realnie 4-5M
generic,,,zasilacz_din_24V,6,,,,,,rezerwa projektowa = max z katalogu; realnie 2-6M wg mocy
Hager,SBN,SBN463,rozlacznik_glowny_4P,4,63,aktywny,,https://hager.com/pl/katalog/produkt/sbn463-modulowy-rozlacznik-izolacyjny-4p-63a,2026-08-20,
Hager,SPD,SPA801,spd_t1_t2,8,,aktywny,typ=T1+T2;Iimp_kA=25/biegun;Imax_kA=50;Uc_V=350;Up_kV=1.5;siec=TN-S/TT,https://assets.hager.com/step-content/P/PDS_823657432001EN/Document/std.lang.all/PDS_SPA801_2001_en-GB.pdf,2026-08-20,8M wg karty PDS (strona PL blednie podaje 4M przy 142.4 mm); Iimp 25kA L-N(PEN)/N-PE; styk sygnalizacyjny
Hager,SVN,SVN127,lampka_obecnosci_faz,1,,aktywny,,https://hager.com/pl/katalog/produkt/svn127-lampka-sygn-3x-czerwona-230v-ac,2026-08-20,
Hager,SF,SF463,przelacznik_zrodla_I-0-II_4P,8,63,aktywny,,https://hager.com/pl/katalog/produkt/sf463-przelacznik-zasilania-3p-n-i-0-ii-63a,2026-08-20,3P+N 63A reczny
Hager,CDA,CDA240J,roznicowka_2P_typA,2,40,aktywny,typ_RCD=A;Idn_mA=30,https://hager.com/pl/katalog/produkt/cda240j-rccb-2p-40a-30ma-typ-a,2026-08-20,konstrukcja 1P+N
Hager,CDA,CDA440J,roznicowka_4P_typA,4,40,aktywny,typ_RCD=A;Idn_mA=30,https://hager.com/pl/katalog/produkt/cda440j-rccb-4p-40a-30ma-typ-a,2026-08-20,
Hager,CDB,CDB640E,roznicowka_4P_typB,4,40,aktywny,typ_RCD=B;Idn_mA=30,https://hager.com/de/katalog/produkt/cdb640e-fi-schalter-3p-n-10ka-40a-30ma-typ-b,2026-08-20,z katalogu DE; dostepnosc w PL potwierdz u dystrybutora
Hager,MBN,MBN110E,eska_1P_B10,1,10,aktywny,Icn_kA=6,https://hager.com/pl/katalog/produkt/mbn110e-mcb-6ka-1p-b-10a,2026-08-20,
Hager,MBN,MBN116E,eska_1P_B16,1,16,aktywny,Icn_kA=6,https://hager.com/pl/katalog/produkt/mbn116e-mcb-6ka-1p-b-16a,2026-08-20,
Hager,MBN,MBN316E,eska_3P_B16,3,16,aktywny,Icn_kA=6,https://hager.com/pl/katalog/produkt/mbn316e-mcb-6ka-3p-b-16a,2026-08-20,
Hager,MCN,MCN316E,eska_3P_C16,3,16,aktywny,Icn_kA=6,https://hager.com/pl/katalog/produkt/mcn316e-mcb-6ka-3p-c-16a,2026-08-20,
Hager,SBN,SBN363,rozlacznik_izolacyjny_3P,3,63,aktywny,,https://hager.com/pl/katalog/produkt/sbn363-modulowy-rozlacznik-izolacyjny-3p-63a,2026-08-20,
Hager,agardio.measure,ECR380D,licznik_energii_3F_modbus,4,,aktywny,pomiar=bezposredni;In_max_A=80;MID=1;protokol=Modbus_RTU,https://hager.com/pl/katalog/produkt/ecr380d-liczn-en-elektr-3-f-80a-modbus-mid,2026-08-20,80A pomiar bezposredni; MID
Hager,agardio.manager,HTG911H,zasilacz_din_24V,4,,aktywny,Uout_V=24;Iout_A=2.5;Pout_W=60,https://hager.com/pl/katalog/produkt/htg911h-agardio-manager-zasilacz-24vdc-2-5a-70c,2026-08-20,24VDC 2.5A
Eaton,IS,IS-63/4,rozlacznik_glowny_4P,4,63,aktywny,,https://www.eaton.com/pl/pl-pl/skuPage.276277.html,2026-08-20,
Eaton,xPole SPBT12,SPBT12-280/4,spd_t1_t2,4,,aktywny,typ=T1+T2,https://www.eaton.com/pl/pl-pl/skuPage.158331.html,2026-08-20,
Eaton,UVA,167285,lampka_obecnosci_faz,1,,aktywny,,https://www.eaton.com/pl/pl-pl/skuPage.167285.html,2026-08-20,symbol = nr katalogowy; 3 lampki zielone
